M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,1,-,竹下 佳江(C),3,■,■,■,-,-,2,0,0,0,-,0,0,0,-,0,-,17,0,1,4,5.9,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,2,L,津雲 博子,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,14,0,70
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,3,-,大貫 美奈子,3,■,■,■,-,-,23,13,1,56.5,4.33,1,0,1,0,2,0.67,8,0,1,0,0,16,10,0,62.5
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,4,-,田中 姿子,3,□,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,5,0,1,1,5,6,4,0,66.7
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,6,-,高橋 みゆき,3,■,■,■,-,-,33,10,0,30.3,3.33,0,0,0,-,2,0.67,12,2,1,4,23.3,7,5,0,71.4
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,7,-,坪根 淳子,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,8,-,杉山 祥子,3,■,■,■,-,-,14,5,0,35.7,1.67,0,0,0,-,4,1.33,15,0,1,3,5,1,0,0,0
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,11,-,岡田 理恵,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,12,-,浦田 聖子,3,■,■,■,-,-,20,4,1,20,1.33,0,0,0,-,0,-,10,0,1,4,10,8,6,0,75
Women,2001_2002,573,第8回Vリーグ女子   ファイナルラウンド,3/8/2002,-,大阪市中央体育館,2600,0.670833333,0.723611111,0.052777778,-,田野　敏彦,印籐　智一,中村　光男,NECレッドロケッツ,東レアローズ,3,0,25,22,0.015277778,25,17,0.016666667,25,22,0.016666667,-,-,-,-,-,-,NECレッドロケッツ,16,-,山本 愛,3,■,■,■,-,-,16,8,0,50,2.67,0,0,0,-,4,1.33,6,0,0,2,8.3,0,0,0,-
