M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Women,2011_2012,801,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,多賀城市総合体育館,980,0.541666667,0.592361111,0.050694444,-,佐々木　功,早坂　行博,渡部　隆一,三洋電機レッドソア,健祥会レッドハーツ,3,0,25,23,0.018055556,25,14,0.0125,25,19,0.015972222,-,-,0,-,-,-,三洋電機レッドソア,113,46,7,40.7,15.33,22,9,4,40.9,10,3.33,74,7,4,27,17.5,55,32,0,58.2
Women,2011_2012,801,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,多賀城市総合体育館,980,0.541666667,0.592361111,0.050694444,-,佐々木　功,早坂　行博,渡部　隆一,三洋電機レッドソア,健祥会レッドハーツ,0,3,23,25,0.018055556,14,25,0.0125,19,25,0.015972222,-,-,0,-,-,-,健祥会レッドハーツ,122,38,8,31.1,12.67,3,1,0,33.3,4,1.33,57,2,2,21,12,66,35,0,53
Women,2011_2012,802,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,多賀城市総合体育館,1550,0.625,0.708333333,0.083333333,-,野村　考一,高橋　宏明,渡部　隆一,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,3,2,18,25,0.016666667,20,25,0.014583333,25,20,0.015972222,25,19,0.015972222,17,15,0.011805556,PFUブルーキャッツ石川かほく,181,67,14,37,13.4,29,11,4,37.9,4,0.8,104,5,9,20,9.2,90,53,0,58.9
Women,2011_2012,802,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,多賀城市総合体育館,1550,0.625,0.708333333,0.083333333,-,野村　考一,高橋　宏明,渡部　隆一,PFUブルーキャッツ石川かほく,仙台ベルフィーユ,2,3,25,18,0.016666667,25,20,0.014583333,20,25,0.015972222,19,25,0.015972222,15,17,0.011805556,仙台ベルフィーユ,169,65,11,38.5,13,1,0,0,0,5,1,105,8,12,32,14.3,92,70,0,76.1
Women,2011_2012,803,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,熊谷市立市民体育館,362,0.541666667,0.597222222,0.055555556,-,浅井 唯由,重竹 雅行,渡邉 眞也,柏エンゼルクロス,KUROBEアクアフェアリーズ,0,3,12,25,0.015972222,18,25,0.016666667,23,25,0.01875,-,-,-,-,-,-,柏エンゼルクロス,133,35,7,26.3,11.67,9,0,2,0,1,0.33,54,3,5,23,15.1,73,41,0,56.2
Women,2011_2012,803,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,熊谷市立市民体育館,362,0.541666667,0.597222222,0.055555556,-,浅井 唯由,重竹 雅行,渡邉 眞也,柏エンゼルクロス,KUROBEアクアフェアリーズ,3,0,25,12,0.015972222,25,18,0.016666667,25,23,0.01875,-,-,-,-,-,-,KUROBEアクアフェアリーズ,133,50,11,37.6,16.67,5,0,2,0,6,2,74,1,1,31,11.6,49,23,0,46.9
Women,2011_2012,804,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,熊谷市立市民体育館,627,0.625,0.684722222,0.059722222,-,中島 俊昌,中里 明啓,大木 茂男,Befcoビービースターズ,埼玉上尾メディックス,0,3,18,25,0.01875,21,25,0.01875,14,25,0.018055556,-,-,-,-,-,-,Befcoビービースターズ,114,29,2,25.4,9.67,18,5,0,27.8,10,3.33,54,5,4,19,16.9,67,34,0,50.7
Women,2011_2012,804,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,熊谷市立市民体育館,627,0.625,0.684722222,0.059722222,-,中島 俊昌,中里 明啓,大木 茂男,Befcoビービースターズ,埼玉上尾メディックス,3,0,25,18,0.01875,25,21,0.01875,25,14,0.018055556,-,-,-,-,-,-,埼玉上尾メディックス,115,54,1,47,18,12,5,0,41.7,9,3,73,3,6,30,13.6,48,26,0,54.2
Women,2011_2012,805,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,菊池市総合体育館,1500,0.541666667,0.588888889,0.047222222,-,中馬　義郎,上原　栄作,鳥井　昭宏,GSS東京サンビームズ,日立リヴァーレ,0,3,8,25,0.014583333,16,25,0.015277778,13,25,0.013194444,-,-,-,-,-,-,GSS東京サンビームズ,122,26,12,21.3,8.67,4,1,1,25,0,0,38,0,4,14,9.2,68,26,0,38.2
Women,2011_2012,805,Ｖ・チャレンジリーグ女子 2011/12   レギュラーラウンド,12/10/2011,-,菊池市総合体育館,1500,0.541666667,0.588888889,0.047222222,-,中馬　義郎,上原　栄作,鳥井　昭宏,GSS東京サンビームズ,日立リヴァーレ,3,0,25,8,0.014583333,25,16,0.015277778,25,13,0.013194444,-,-,-,-,-,-,日立リヴァーレ,85,39,4,45.9,13,14,3,2,21.4,11,3.67,74,6,5,37,19.3,34,20,0,58.8
