M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,1,-,山口 純平,5,■,■,■,■,■,8,6,0,75,1.2,0,0,0,-,1,0.2,16,2,3,4,16.2,0,0,0,-
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,3,-,久保田 雅人,4,□,-,□,■,■,11,6,1,54.5,1.5,0,0,0,-,2,0.5,6,0,2,0,0,29,19,0,65.5
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,4,-,倉田 真,5,■,■,■,■,■,35,17,1,48.6,3.4,6,3,0,50,0,-,16,0,4,3,4.7,27,17,0,63
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,5,-,平野 晃多,5,■,■,■,■,■,15,7,1,46.7,1.4,0,0,0,-,4,0.8,14,0,0,1,1.8,4,4,0,100
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,6,-,辰巳 佳靖(C),5,■,■,■,■,■,38,18,3,47.4,3.6,16,12,1,75,2,0.4,14,0,5,4,7.1,1,0,0,0
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,7,-,赤澤 直樹,5,■,■,■,■,■,2,1,0,50,0.2,0,0,0,-,4,0.8,19,0,1,3,3.9,1,0,0,0
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,11,L,平井 銀次,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,10,0,83.3
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,13,-,草場 貴成,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,14,-,齋藤 義人,2,-,-,-,□,□,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
Men,2014_2015,701,Ｖ・チャレンジリーグ男子 2014/15   レギュラーラウンド,11/8/2014,-,桜総合体育館,325,0.458333333,0.546527778,0.088194444,-,伊藤　薫,野村　考一,酒寄　和記,大同特殊鋼レッドスター,つくばユナイテッドSun GAIA,2,3,22,25,0.020833333,25,19,0.016666667,17,25,0.015277778,25,23,0.017361111,11,15,0.009722222,大同特殊鋼レッドスター,15,-,金澤 秀幸,4,■,■,■,□,-,19,5,2,26.3,1.25,0,0,0,-,1,0.25,8,2,0,0,20,16,9,0,56.2
