M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,N,L,Name,出場セット,出場セット1,出場セット2,出場セット3,出場セット4,出場セット5,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,1,-,小川 貴大,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,2,-,伊藤 裕之介,3,■,■,■,-,-,1,1,0,100,0.33,0,0,0,-,1,0.33,8,0,0,1,3.1,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,3,-,水野 貴文,2,-,□,□,-,-,3,2,0,66.7,1,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,5,-,大野 隆一,3,■,■,■,-,-,11,5,2,45.5,1.67,0,0,0,-,2,0.67,10,0,0,3,7.5,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,6,-,松本 幸博,3,■,■,■,-,-,23,6,2,26.1,2,0,0,0,-,3,1,10,0,1,0,-2.5,8,4,3,68.8
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,9,-,新垣 宗之,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,11,-,平原 隆也,3,■,■,■,-,-,13,5,2,38.5,1.67,1,0,1,0,0,-,19,3,4,2,13.2,23,11,10,69.6
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,14,-,中道 元貴,2,-,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,15,-,河西 敦司,3,■,■,■,-,-,28,11,1,39.3,3.67,9,2,1,22.2,1,0.33,16,1,0,3,10.9,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,16,-,金子 優海,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,18,L,吉澤 玄祐,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,14,10,1,75
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,19,L,神谷 昂紀,3,〇,〇,〇,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,3,0,25,17,0.013888889,25,20,0.018055556,25,17,0.020138889,-,-,-,-,-,-,警視庁フォートファイターズ,22,-,阿部 翼,3,■,■,■,-,-,19,12,2,63.2,4,0,0,0,-,1,0.33,4,0,0,0,0,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,1,-,浅野 晶,1,-,-,■,-,-,7,1,1,14.3,1,0,0,0,-,0,-,2,0,0,0,0,8,3,4,62.5
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,2,-,山田 誠幸,2,-,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,3,-,齋藤 貴大,2,■,-,■,-,-,5,3,0,60,1.5,0,0,0,-,2,1,4,0,0,1,6.2,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,4,-,橋本 大海,3,■,■,■,-,-,20,6,1,30,2,0,0,0,-,1,0.33,6,0,1,2,4.2,6,3,1,58.3
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,5,-,板橋 健之,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,6,L,野澤 辰義,3,●,●,●,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,5,6,53.3
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,7,-,齋藤 貴紀,2,-,□,□,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,8,-,村松 俊輔,2,■,■,-,-,-,13,3,1,23.1,1.5,4,1,0,25,0,-,8,1,2,0,6.2,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,10,-,吉岡 佳徳,3,■,■,■,-,-,0,0,0,-,-,0,0,0,-,0,-,8,0,1,0,-3.1,1,0,0,0
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,12,-,大町 和幸,3,■,■,■,-,-,21,6,1,28.6,2,3,0,1,0,0,-,8,0,2,0,-6.2,14,7,4,64.3
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,18,-,高田 晋作,2,□,-,□,-,-,5,1,0,20,0.5,0,0,0,-,0,-,1,0,0,0,0,8,2,3,43.8
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,19,-,瀧内 佑一,1,-,■,-,-,-,2,2,0,100,2,0,0,0,-,1,1,3,0,0,0,0,0,0,0,-
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,20,-,杉崎 大和,3,■,■,■,-,-,29,11,3,37.9,3.67,7,1,1,14.3,0,-,9,0,2,0,-5.6,15,10,5,83.3
Men,2021-2022,501,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,道北アークス大雪アリーナ,275,0.4375,0.49375,0.05625,印藤　智一,大塚　健之,藤井　靖香,大友　大輔,警視庁フォートファイターズ,千葉ZELVA,0,3,17,25,0.013888889,20,25,0.018055556,17,25,0.020138889,-,-,-,-,-,-,千葉ZELVA,22,-,谷野 駿,2,□,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,3,0,2,1,-8.3,0,0,0,-
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,1,-,西村 駿佑,3,■,■,■,-,-,24,13,2,54.2,4.33,4,2,1,50,0,-,20,1,0,8,15,23,6,9,45.7
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,3,-,浅川 成也,0,-,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,4,-,皆川 昂太,3,■,■,■,-,-,8,3,4,37.5,1,0,0,0,-,3,1,10,0,0,3,7.5,0,0,0,-
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,6,-,橋爪 ユウキ,1,□,-,-,-,-,0,0,0,-,-,0,0,0,-,0,-,2,0,1,1,0,0,0,0,-
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,8,-,山岡 龍司,3,■,■,■,-,-,1,0,0,0,-,0,0,0,-,1,0.33,8,0,2,0,-6.2,1,0,0,0
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,9,-,平野 太一,1,-,-,□,-,-,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
Men,2021-2022,503,2021-22 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,10/30/2021,北海道,苫小牧市総合体育館,198,0.541666667,0.589583333,0.047916667,大江　憲一,坂本　雅春,小澤　敦,黒澤　研一,トヨタ自動車サンホークス,奈良ドリーマーズ,3,0,25,12,0.011111111,25,23,0.017361111,25,21,0.015277778,-,-,-,-,-,-,トヨタ自動車サンホークス,10,-,川端下 大,1,-,□,-,-,-,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0,0,0,0,-
