M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2022-2023,501,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,埼玉県,川越運動公園総合体育館,369,0.541666667,0.6375,0.095833333,小林　朝実,関野　智史,上　健太郎,大木　茂男,埼玉アザレア,つくばユナイテッドSun GAIA,2,3,21,25,0.019444444,25,23,0.019444444,23,25,0.01875,25,22,0.017361111,12,15,0.0125,埼玉アザレア,139,55,11,39.6,11,26,8,4,30.8,12,2.4,106,1,9,27,5.2,81,39,10,54.3
Men,2022-2023,501,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,埼玉県,川越運動公園総合体育館,369,0.541666667,0.6375,0.095833333,小林　朝実,関野　智史,上　健太郎,大木　茂男,埼玉アザレア,つくばユナイテッドSun GAIA,3,2,25,21,0.019444444,23,25,0.019444444,25,23,0.01875,22,25,0.017361111,15,12,0.0125,つくばユナイテッドSun GAIA,156,65,9,41.7,13,26,6,1,23.1,16,3.2,110,6,25,30,6.6,96,50,19,62
Men,2022-2023,502,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,埼玉県,川越運動公園総合体育館,181,0.666666667,0.740277778,0.073611111,小林　朝実,菅原　潤,中山　智之,岩田　真一,ヴィアティン三重,きんでんトリニティーブリッツ,1,3,27,29,0.018055556,25,23,0.015277778,23,25,0.018055556,20,25,0.015972222,-,-,-,ヴィアティン三重,131,59,7,45,14.75,14,4,2,28.6,10,2.5,96,2,15,13,1.6,87,55,14,71.3
Men,2022-2023,502,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,埼玉県,川越運動公園総合体育館,181,0.666666667,0.740277778,0.073611111,小林　朝実,菅原　潤,中山　智之,岩田　真一,ヴィアティン三重,きんでんトリニティーブリッツ,3,1,29,27,0.018055556,23,25,0.015277778,25,23,0.018055556,25,20,0.015972222,-,-,-,きんでんトリニティーブリッツ,117,64,9,54.7,16,26,13,3,50,10,2.5,101,3,12,17,4.2,81,46,20,69.1
Men,2022-2023,504,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,神奈川県,川崎市スポーツ・文化総合センター,470,0.5625,0.615972222,0.053472222,阿部　広太郎,神原　圭吾,筒木　光,渡部　仁志,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,3,0,25,17,0.015277778,25,15,0.013888889,25,17,0.015277778,-,-,-,-,-,-,富士通カワサキレッドスピリッツ,75,37,4,49.3,12.33,19,7,3,36.8,8,2.67,73,6,13,25,12.3,37,13,14,54.1
Men,2022-2023,504,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,神奈川県,川崎市スポーツ・文化総合センター,470,0.5625,0.615972222,0.053472222,阿部　広太郎,神原　圭吾,筒木　光,渡部　仁志,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,0,3,17,25,0.015277778,15,25,0.013888889,17,25,0.015277778,-,-,-,-,-,-,兵庫デルフィーノ,70,27,7,38.6,9,5,3,0,60,4,1.33,51,0,14,10,-2,57,15,14,38.6
Men,2022-2023,505,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,神奈川県,川崎市スポーツ・文化総合センター,530,0.645833333,0.7125,0.066666667,村上　成司,片井　伴浩,矢田　義明,川上　弘志,サフィルヴァ北海道,アイシンティルマーレ,3,1,19,25,0.014583333,25,16,0.013194444,25,15,0.017361111,25,21,0.015277778,-,-,-,サフィルヴァ北海道,107,53,5,49.5,13.25,25,15,2,60,12,3,93,5,13,24,8.3,62,25,20,56.5
Men,2022-2023,505,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/5/2022,神奈川県,川崎市スポーツ・文化総合センター,530,0.645833333,0.7125,0.066666667,村上　成司,片井　伴浩,矢田　義明,川上　弘志,サフィルヴァ北海道,アイシンティルマーレ,1,3,25,19,0.014583333,16,25,0.013194444,15,25,0.017361111,21,25,0.015277778,-,-,-,アイシンティルマーレ,104,52,6,50,13,22,6,1,27.3,3,0.75,78,2,16,16,2.6,78,28,23,50.6
Men,2022-2023,507,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/6/2022,埼玉県,川越運動公園総合体育館,176,0.583333333,0.638194444,0.054861111,小林　朝実,関野　智史,中山　智之,内海　祥子,ヴィアティン三重,サフィルヴァ北海道,3,0,25,23,0.015277778,25,22,0.018055556,25,23,0.017361111,-,-,-,-,-,-,ヴィアティン三重,82,44,8,53.7,14.67,10,5,2,50,7,2.33,73,1,10,17,3.8,56,15,27,50.9
Men,2022-2023,507,2022-23 V.LEAGUE DIVISION2 MEN   V・レギュラーラウンド,11/6/2022,埼玉県,川越運動公園総合体育館,176,0.583333333,0.638194444,0.054861111,小林　朝実,関野　智史,中山　智之,内海　祥子,ヴィアティン三重,サフィルヴァ北海道,0,3,23,25,0.015277778,22,25,0.018055556,23,25,0.017361111,-,-,-,-,-,-,サフィルヴァ北海道,77,37,5,48.1,12.33,24,11,4,45.8,9,3,70,3,14,11,3.2,62,21,24,53.2
